## Page 1 ### Table (Page 1) | Services | In-Network You Pay1 |
| --- | --- |
| | Visit www.carefirst.com/doctor to locate providers and facilities |
| 24-HOUR NURSE ADVICE LINE | |
| Free advice from a registered nurse. Visit www.carefirst.com/needcare to learn more about your options for care. | When your doctor is not available, call 800-535-9700 to speak with a registered nurse about your health questions and treatment options. |
| WELLBEING PROGRAM & BLUE REWARDS | |
| Visit www.carefirst.com/sharecare for more information. | You have access to a comprehensive wellbeing program as part of your medical plan. You also have Blue Rewards, an incentive program where you can get rewarded for completing certain activities. |
| ANNUAL MEDICAL DEDUCTIBLE (Benefit Period),2 | |
| Individual/Family | $5,350 Individual/$10,700 Family (separate) |
| ANNUAL OUT-OF-POCKET MAXIMUM (Benefit Period)3,4 | |
| Individual/Family | $8,800 Individual/$17,600 Family (separate) |
| PREVENTIVE SERVICES | |
| Well-Child Care (including exams & immunizations) | No charge* |
| Adult Physical Examination (including routine GYN visit) | No charge* |
| Breast Cancer Screening | No charge* |
| Pap Test | No charge* |
| Prostate Cancer Screening | No charge* |
| Colorectal Cancer Screening | No charge* |
| PCP AND SPECIALIST SERVICES | |
| FACILITY CHARGE5 In addition to the physician copays/coinsurances listed below, if a service is rendered on a hospital campus, ADD facility charge if applicable (also applies to Artificial Insemination and In Vitro Fertilization on page 2) | Deductible, then $50 per visit |
| Office Visits for Illness PCP5,6 | Virtual Connect Plus through selected providers, including CloseKnit7 - No charge* (www.carefirst.com/virtualconnect) All other providers - $25 per visit |
| Office Visits for Illness Specialist | $60 per visit |
| Allergy Testing5 | $60 per visit |
| Allergy Shots5 | $60 per visit |
| Physical, Speech, and Occupational Therapy5 (limited to 30 visits/illness or injury/benefit period) | $60 per visit |
| Chiropractic5 (limited to 20 visits/benefit period) | $60 per visit |
| Acupuncture5 | $60 per visit |
| IMMEDIATE AND EMERGENCY SERVICES | |
| Convenience Care (retail health clinics such as CVS MinuteClinic) | $25 per visit |
| Urgent Care Center (such as Patient First or ExpressCare) | $100 per visit |
| Hospital Emergency Room Services | |
| Facility | Deductible, then $350 per visit (waived if admitted) |
| Physician | Deductible, then $60 per visit |
